Coin,Price,1h_Change,24h_Change,7d_Change,24h_Volume,Market_Capital
Radix,$49.98 ,-1.70%,-1.90%,14.80%,"$96,322.72 ","$1,436,474,777 "
Near,$0.83 ,-0.80%,6.70%,13.10%,"$533,194,796 ","$8,547,172,864 "
Uniswap,$1.13 ,-0.50%,-0.10%,8.60%,"$131,611,665 ","$4,787,876,167 "
Cardano,$0.05 ,-0.40%,4.30%,32.20%,"$1,343,730,243 ","$36,206,307,657 "
Avalanche,$0.11 ,-0.40%,3.10%,0.00%,"$632,363,165 ","$23,023,995,914 "
Convex Finance,$37.03 ,-0.40%,11.10%,35.30%,"$68,154,403 ","$1,498,203,549 "
Zcash,$6.50 ,-0.30%,5.80%,22.70%,"$412,067,300 ","$2,567,068,380 "
NEXO,$166.77 ,-0.30%,0.90%,0.50%,"$3,068,750 ","$1,284,245,330 "
Frax Share,$209.35 ,-0.30%,14.70%,15.30%,"$20,869,867 ","$1,193,920,117 "
Loopring,$90.78 ,-0.20%,6.20%,51.60%,"$448,268,398 ","$1,377,919,394 "
Magic Internet Money,$5.94 ,-0.10%,0.40%,-0.90%,"$45,596,348 ","$2,755,408,663 "
USD Coin,$0.02 ,0.00%,0.00%,-0.10%,"$2,254,316,980 ","$51,947,859,096 "
Binance USD,$0.15 ,0.00%,-0.20%,0.10%,"$2,471,411,542 ","$17,575,004,166 "
TerraUSD,$0.18 ,0.00%,0.00%,-0.40%,"$420,293,915 ","$16,071,587,361 "
Bitcoin Cash,$0.99 ,0.00%,2.10%,18.30%,"$636,576,850 ","$6,879,464,033 "
Ethereum Classic,$1.00 ,0.00%,4.30%,70.80%,"$1,382,147,108 ","$6,429,123,875 "
LEO Token,$1.00 ,0.00%,-0.40%,-2.40%,"$518,444 ","$5,569,875,521 "
THORChain,$3.71 ,0.00%,6.50%,14.10%,"$388,737,990 ","$3,006,879,816 "
Bitcoin SV,$28.72 ,0.00%,-0.40%,10.70%,"$118,989,446 ","$1,690,411,755 "
Stacks,$62.67 ,0.00%,1.00%,4.10%,"$27,368,938 ","$1,423,467,364 "
TrueUSD,$123.16 ,0.00%,-0.10%,-0.20%,"$102,427,121 ","$1,360,048,636 "
Synthetix Network Token,"$3,120.10 ",0.00%,2.30%,1.50%,"$57,444,282 ","$1,106,939,735 "
Ethereum,$0.00 ,0.10%,0.90%,6.00%,"$8,531,831,739 ","$375,062,880,612 "
Tether,$0.00 ,0.10%,0.00%,-0.20%,"$34,789,254,242 ","$81,287,879,164 "
XRP,$0.03 ,0.10%,1.10%,4.10%,"$1,463,886,513 ","$40,048,676,294 "
Polkadot,$0.13 ,0.10%,2.90%,10.10%,"$441,933,284 ","$22,976,942,060 "
Dai,$0.41 ,0.10%,0.00%,-0.10%,"$160,793,045 ","$9,256,763,087 "
Lido Staked Ether,$0.45 ,0.10%,1.00%,6.00%,"$16,172,271 ","$8,760,446,894 "
TRON,$1.00 ,0.10%,1.10%,5.00%,"$679,303,064 ","$6,596,129,343 "
Monero,$2.29 ,0.10%,4.20%,6.90%,"$145,993,023 ","$3,770,697,548 "
Fantom,$2.49 ,0.10%,2.70%,10.90%,"$398,090,578 ","$3,521,768,447 "
Frax,$5.13 ,0.10%,0.20%,0.00%,"$18,390,848 ","$2,790,371,310 "
cUSDC,$8.29 ,0.10%,0.20%,0.10%,$98.15 ,"$2,458,582,431 "
cDAI,$15.76 ,0.10%,0.10%,0.10%,$18.75 ,"$2,053,164,213 "
Celsius Network,$88.94 ,0.10%,-2.40%,-2.70%,"$1,832,408 ","$1,387,493,503 "
Celo,$128.60 ,0.10%,3.30%,1.40%,"$48,667,711 ","$1,339,615,493 "
BitDAO,"$3,122.36 ",0.10%,1.30%,8.40%,"$25,210,380 ","$1,093,544,587 "
GateToken,"$44,362.85 ",0.10%,0.30%,2.30%,"$4,771,631 ","$985,795,349 "
Solana,$0.06 ,0.20%,5.40%,14.70%,"$1,112,016,014 ","$33,495,698,602 "
Cosmos Hub,$0.84 ,0.20%,3.00%,0.00%,"$427,819,580 ","$8,364,217,800 "
FTX Token,$1.00 ,0.20%,0.90%,12.00%,"$91,739,178 ","$6,866,399,175 "
Internet Computer,$1.35 ,0.20%,3.80%,15.10%,"$105,234,900 ","$4,187,038,536 "
cETH,$2.61 ,0.20%,0.80%,6.40%,"$10,181.13 ","$3,372,499,366 "
EOS,$7.25 ,0.20%,1.80%,16.80%,"$323,248,124 ","$2,466,946,167 "
Theta Fuel,$20.50 ,0.20%,1.10%,6.60%,"$10,600,932 ","$1,886,178,774 "
BitTorrent,$21.89 ,0.20%,0.10%,3.30%,"$80,641,967 ","$1,777,455,197 "
Kusama,$47.99 ,0.20%,4.80%,12.00%,"$68,957,861 ","$1,497,869,387 "
Bitcoin,$0.00 ,0.30%,0.40%,6.00%,"$14,287,410,680 ","$842,691,159,886 "
BNB,$0.02 ,0.30%,1.70%,4.20%,"$801,347,527 ","$69,655,501,981 "
Wrapped Bitcoin,$0.22 ,0.30%,0.40%,6.10%,"$135,415,147 ","$12,156,059,558 "
Cronos,$0.24 ,0.30%,-0.10%,11.30%,"$58,348,643 ","$11,413,790,681 "
Stellar,$1.00 ,0.30%,0.80%,10.40%,"$202,085,206 ","$5,267,199,829 "
Axie Infinity,$1.10 ,0.30%,-3.20%,34.10%,"$595,724,661 ","$5,226,331,531 "
Hedera,$1.14 ,0.30%,2.10%,7.80%,"$41,288,788 ","$4,478,547,439 "
Osmosis,$6.47 ,0.30%,0.60%,-9.70%,"$59,659,821 ","$2,730,350,952 "
Flow,$10.48 ,0.30%,2.90%,14.10%,"$99,816,186 ","$2,306,126,451 "
IOTA,$14.10 ,0.30%,4.20%,11.10%,"$34,534,285 ","$2,250,528,461 "
Maker,$20.93 ,0.30%,1.90%,-2.30%,"$34,476,828 ","$1,797,574,387 "
KuCoin Token,$67.82 ,0.30%,-0.10%,2.50%,"$5,016,777 ","$1,420,390,036 "
Huobi Token,$85.99 ,0.30%,2.10%,-1.30%,"$18,540,154 ","$1,403,466,851 "
Dash,$103.09 ,0.30%,4.10%,30.10%,"$352,115,434 ","$1,369,909,818 "
Xido Finance,"$44,331.42 ",0.30%,-2.10%,-54.60%,"$46,294.91 ","$1,048,357,273 "
Terra,$0.06 ,0.40%,1.30%,2.70%,"$1,030,947,486 ","$32,474,755,928 "
Litecoin,$0.81 ,0.40%,0.60%,9.80%,"$467,644,061 ","$8,621,297,411 "
Elrond,$1.23 ,0.40%,5.50%,19.10%,"$135,183,454 ","$4,191,113,850 "
Waves,$3.13 ,0.40%,8.10%,0.00%,"$643,098,585 ","$3,281,881,702 "
Tezos,$3.22 ,0.40%,6.30%,17.30%,"$187,577,328 ","$3,267,758,949 "
Klaytn,$3.39 ,0.40%,2.00%,3.10%,"$45,901,740 ","$3,156,056,013 "
Quant,$19.16 ,0.40%,5.20%,21.80%,"$30,008,735 ","$1,899,766,763 "
Enjin Coin,$34.56 ,0.40%,3.40%,13.40%,"$76,585,033 ","$1,536,382,317 "
Basic Attention Token,$208.59 ,0.40%,1.40%,-0.20%,"$69,054,490 ","$1,258,791,182 "
JUNO,$361.71 ,0.40%,-5.40%,-31.90%,"$11,767,781 ","$1,176,642,893 "
VeChain,$1.64 ,0.50%,3.40%,15.60%,"$199,570,447 ","$3,833,694,007 "
Aave,$12.91 ,0.50%,1.90%,2.80%,"$168,287,180 ","$2,254,617,272 "
PancakeSwap,$18.73 ,0.50%,3.30%,13.20%,"$92,651,380 ","$2,038,847,912 "
Huobi BTC,$23.98 ,0.50%,0.90%,6.30%,"$376,014 ","$1,770,363,839 "
Shiba Inu,$0.21 ,0.60%,2.30%,9.80%,"$458,893,745 ","$13,451,183,120 "
Decentraland,$1.38 ,0.60%,0.80%,6.40%,"$184,913,186 ","$3,947,046,621 "
The Sandbox,$1.60 ,0.60%,1.00%,5.40%,"$309,601,095 ","$3,854,746,306 "
Theta Network,$3.28 ,0.70%,2.90%,10.00%,"$70,890,459 ","$3,216,386,926 "
Harmony,$24.52 ,0.70%,3.40%,11.80%,"$68,099,866 ","$1,753,788,883 "
Arweave,$25.43 ,0.70%,6.30%,1.80%,"$45,307,937 ","$1,730,594,321 "
eCash,$32.87 ,0.70%,2.20%,4.40%,"$16,985,539 ","$1,619,329,771 "
Chiliz,$165.18 ,0.70%,0.90%,15.50%,"$246,436,499 ","$1,284,426,306 "
Amp,$189.86 ,0.70%,0.10%,4.20%,"$7,076,357 ","$1,259,147,664 "
OKB,$1.00 ,0.80%,3.00%,8.00%,"$169,828,468 ","$5,708,297,464 "
Polygon,$0.25 ,0.90%,1.80%,6.80%,"$444,332,382 ","$11,006,122,830 "
Chainlink,$0.91 ,1.00%,1.00%,4.80%,"$374,330,478 ","$7,338,100,924 "
Algorand,$1.00 ,1.00%,1.00%,19.90%,"$185,829,996 ","$6,003,808,411 "
Filecoin,$2.59 ,1.00%,2.10%,8.70%,"$180,744,349 ","$3,484,981,821 "
Dogecoin,$0.15 ,1.10%,3.50%,12.10%,"$562,538,577 ","$17,720,660,223 "
NEO,$27.03 ,1.10%,3.90%,16.20%,"$166,596,051 ","$1,726,580,795 "
Mina Protocol,"$1,994.70 ",1.20%,6.00%,15.40%,"$34,646,844 ","$1,119,652,532 "
NEM,"$44,384.54 ",1.20%,1.40%,7.40%,"$12,625,925 ","$966,828,003 "
The Graph,$6.81 ,1.30%,1.70%,0.30%,"$93,260,372 ","$2,532,575,122 "
Helium,$9.01 ,1.30%,-4.30%,-0.30%,"$46,632,400 ","$2,403,857,610 "
Humans.ai,$141.76 ,1.50%,-1.70%,20.10%,"$1,561,600 ","$1,309,127,902 "
Kadena,$414.41 ,1.70%,2.00%,8.10%,"$59,313,472 ","$1,161,301,457 "
Gala,$19.46 ,1.80%,2.60%,9.50%,"$434,417,366 ","$1,895,500,218 "
ApeCoin,$10.04 ,2.80%,12.30%,8.50%,"$1,137,258,282 ","$2,378,520,599 "
